Shirley	F	14405	1931
Doris	F	13629	1931
Robert	M	60508	1931
James	M	51219	1931
John	M	48423	1931
William	M	43276	1931
Richard	M	31816	1931
Charles	M	29924	1931
Donald	M	29102	1931
George	M	20687	1931
Joseph	M	19330	1931
Thomas	M	16846	1931
Mary	F	59874	1932
Betty	F	34417	1932
Barbara	F	26314	1932
Dorothy	F	24974	1932
Joan	F	21045	1932
Patricia	F	17989	1932
Margaret	F	16549	1932
Helen	F	16376	1932
Shirley	F	14476	1932
Doris	F	12909	1932
Robert	M	59266	1932
James	M	51922	1932
John	M	48617	1932
William	M	42117	1932
Richard	M	31798	1932
Charles	M	31095	1932
Donald	M	29786	1932
George	M	20436	1932
Joseph	M	18563	1932
Thomas	M	16834	1932
Mary	F	55509	1933
Betty	F	31526	1933
Barbara	F	26951	1933
Dorothy	F	22047	1933
Joan	F	19290	1933
Patricia	F	18631	1933
Margaret	F	15239	1933
Helen	F	14643	1933
Shirley	F	14315	1933
Doris	F	12024	1933
Robert	M	54218	1933
James	M	51102	1933
John	M	46222	1933
William	M	39049	1933
Richard	M	31337	1933
Charles	M	28988	1933
Donald	M	28437	1933
George	M	18358	1933
Joseph	M	17162	1933
Thomas	M	16500	1933
Mary	F	56929	1934
Betty	F	31085	1934
Barbara	F	29234	1934
Shirley	F	22840	1934
Dorothy	F	21283	1934
Patricia	F	20845	1934
Joan	F	19464	1934
Margaret	F	15144	1934
Helen	F	14100	1934
Nancy	F	13518	1934
Robert	M	55829	1934
James	M	54249	1934
John	M	46734	1934
William	M	40170	1934
Richard	M	33157	1934
Donald	M	30409	1934
Charles	M	29792	1934
George	M	18497	1934
Thomas	M	17369	1934
Joseph	M	17101	1934
Mary	F	55069	1935
Shirley	F	42358	1935
Barbara	F	30696	1935
Betty	F	28673	1935
Patricia	F	22877	1935
Dorothy	F	19404	1935
Joan	F	18223	1935
Margaret	F	14725	1935
Nancy	F	14544	1935
Helen	F	12781	1935
Robert	M	56524	1935
James	M	55000	1935
John	M	47499	1935
William	M	40198	1935
Richard	M	33945	1935
Charles	M	29983	1935
Donald	M	29661	1935
George	M	18559	1935
Thomas	M	17680	1935
Joseph	M	17183	1935
Mary	F	54372	1936
Shirley	F	35161	1936
Barbara	F	31682	1936
Betty	F	25866	1936
Patricia	F	23914	1936
Dorothy	F	17669	1936
Joan	F	17069	1936
Nancy	F	16756	1936
Margaret	F	14594	1936
Carol	F	14521	1936
Robert	M	58492	1936
James	M	54686	1936
John	M	47669	1936
William	M	39386	1936
Richard	M	33487	1936
Charles	M	29084	1936
Donald	M	28635	1936
Thomas	M	18339	1936
George	M	18195	1936
David	M	17479	1936
Mary	F	55645	1937
Barbara	F	34912	1937
Patricia	F	26839	1937
Shirley	F	26816	1937
Betty	F	25332	1937
Carol	F	17336	1937
Nancy	F	17069	1937
Dorothy	F	16572	1937
Joan	F	15299	1937
Margaret	F	15143	1937
Robert	M	61835	1937
James	M	56551	1937
John	M	48746	1937
William	M	40713	1937
Richard	M	32973	1937
Charles	M	30524	1937
Donald	M	27868	1937
David	M	20974	1937
Thomas	M	19775	1937
George	M	18430	1937
Mary	F	56215	1938
Barbara	F	39279	1938
Patricia	F	27556	1938
Betty	F	25504	1938
Shirley	F	23767	1938
Carol	F	19424	1938
Nancy	F	18948	1938
Dorothy	F	16348	1938
Margaret	F	15330	1938
Joan	F	14302	1938
Robert	M	62268	1938
James	M	59099	1938
John	M	50519	1938
William	M	42422	1938
Richard	M	34380	1938
Charles	M	31138	1938
Donald	M	26665	1938
David	M	22992	1938
Thomas	M	21376	1938
Ronald	M	20296	1938
Mary	F	54901	1939
Barbara	F	37258	1939
Patricia	F	29706	1939
Betty	F	23641	1939
Shirley	F	20445	1939
Carol	F	20166	1939
Nancy	F	19726	1939
Judith	F	16626	1939
Dorothy	F	15171	1939
Margaret	F	14952	1939
Robert	M	59645	1939
James	M	59627	1939
John	M	51015	1939
William	M	42077	1939
Richard	M	35373	1939
Charles	M	30787	1939
David	M	25362	1939
Donald	M	24056	1939
Thomas	M	22128	1939
Ronald	M	19835	1939
Mary	F	56203	1940
Barbara	F	36734	1940
Patricia	F	32664	1940
Judith	F	22382	1940
Betty	F	22074	1940
Carol	F	21761	1940
Nancy	F	19732	1940
Linda	F	18369	1940
Shirley	F	17878	1940
Sandra	F	16150	1940
James	M	62473	1940
Robert	M	61196	1940
John	M	54779	1940
William	M	44768	1940
Richard	M	37415	1940
Charles	M	31684	1940
David	M	27687	1940
Thomas	M	23987	1940
Donald	M	23106	1940
Ronald	M	20730	1940
Mary	F	58040	1941
Barbara	F	39538	1941
Patricia	F	36901	1941
Carol	F	24181	1941
Linda	F	23721	1941
Judith	F	23316	1941
Betty	F	20905	1941
Nancy	F	20881	1941
Sandra	F	19498	1941
Shirley	F	16953	1941
James	M	66736	1941
Robert	M	64233	1941
John	M	57515	1941
William	M	47789	1941
Richard	M	39106	1941
Charles	M	32732	1941
